ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L
6,Melbourne,Australian Open,20/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Berdych T.,2,57,7480,865,6,0,6,1,7,6,,,,,3,0,Completed,1.14,5.5
6,Melbourne,Australian Open,20/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Bautista Agut R.,Cilic M.,24,7,1605,4160,6,7,6,3,6,2,4,6,6,4,3,2,Completed,2.1,1.72
6,Melbourne,Australian Open,20/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Tsitsipas S.,Federer R.,15,3,2095,6420,6,7,7,6,7,5,7,6,,,3,1,Completed,5.5,1.14
6,Melbourne,Australian Open,21/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Raonic M.,Zverev A.,17,4,1900,6385,6,1,6,1,7,6,,,,,3,0,Completed,2.2,1.66
6,Melbourne,Australian Open,21/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Pouille L.,Coric B.,31,12,1245,2435,6,7,6,4,7,5,7,6,,,3,1,Completed,4,1.25
6,Melbourne,Australian Open,21/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Nishikori K.,Carreno Busta P.,9,23,3750,1705,6,7,4,6,7,6,6,4,7,6,3,2,Completed,1.2,4.5
6,Melbourne,Australian Open,21/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Medvedev D.,1,19,9135,1865,6,4,6,7,6,2,6,3,,,3,1,Completed,1.11,6.5
6,Melbourne,Australian Open,22/1/19,Grand Slam,Outdoor,Hard,Quarterfinals,5,Tsitsipas S.,Bautista Agut R.,15,24,2095,1605,7,5,4,6,6,4,7,6,,,3,1,Completed,2,1.8
6,Melbourne,Australian Open,22/1/19,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nadal R.,Tiafoe F.,2,39,7480,1080,6,3,6,4,6,2,,,,,3,0,Completed,1.04,13
6,Melbourne,Australian Open,23/1/19,Grand Slam,Outdoor,Hard,Quarterfinals,5,Pouille L.,Raonic M.,31,17,1245,1900,7,6,6,3,6,7,6,4,,,3,1,Completed,5.5,1.14
6,Melbourne,Australian Open,23/1/19,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Nishikori K.,1,9,9135,3750,6,1,4,1,,,,,,,1,0,Retired,1.08,8
6,Melbourne,Australian Open,24/1/19,Grand Slam,Outdoor,Hard,Semifinals,5,Nadal R.,Tsitsipas S.,2,15,7480,2095,6,2,6,4,6,0,,,,,3,0,Completed,1.16,5
6,Melbourne,Australian Open,25/1/19,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Pouille L.,1,31,9135,1245,6,0,6,2,6,2,,,,,3,0,Completed,1.05,11
6,Melbourne,Australian Open,27/1/19,Grand Slam,Outdoor,Hard,The Final,5,Djokovic N.,Nadal R.,1,2,9135,7480,6,3,6,2,6,3,,,,,3,0,Completed,1.74,2.15
6,Melbourne,Australian Open,18/1/10,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Rochus O.,11,59,2870,769,6,3,6,4,3,6,6,1,,,3,1,Completed,1.05,9
6,Melbourne,Australian Open,18/1/10,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Kubler J.,24,86,1405,573,6,1,6,2,6,2,,,,,3,0,Completed,1.04,10
6,Melbourne,Australian Open,18/1/10,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Stepanek R.,39,13,1015,2525,2,6,7,6,6,4,3,6,6,4,3,2,Completed,3,1.36
